137 Bar & Grill		3379 Broadway, New York, NY 10031			11:00 am - 4:00 am		
Bahamas Deli		1622 Amsterdam Avenue, New York, NY 10031			24/7		
Bettolona Italian Restaurant		3143 Broadway, New York, NY 10027			12:00 pm - 11:00 p		
Chapati House Simply Indian		3153 Broadway, New York, NY 10027			11:00 am - 11:00 pm						
Claremont Chemists		3181 Broadway, New York, NY 10027					
Covo Trattoria Pizzeria		701 West 135th Street, New York, NY 10031			M-F 11:30 am - 12:00 am	SS 10:00 am - Midnight	
Dinosaur BBQ		700 West 125th Street, New York, NY 10027			M-T 11:30 am - 11:00 pm	FS 10:30 am - Midnight	Sun Noon to 10pm
Fairway Supermarket		2328 12th Avenue, New York, NY 10027			8:00 am - 11:00 pm		
Floridita Cuban Cuisine		2276 12th Avenue, New York, NY 10027			9am to MW-11pm Th-Sat -12am Sun -11pm		
Duane Reade		568 West 125th Street, New York, NY 10027			24/7		
El Porton Mexican Restaurant		3151 Broadway #2, New York, NY 10027			Friday - 11 am - 11 pm	11am - 10:30 pm	
Falafel On Broadway		3151 Broadway, New York, NY 10027			11 am - 11:59 pm 	sun 3pm to 11:59pm	
Hamilton Pharmacy		3293 Broadway, New York, NY 10027					
Hudson Cafe		697 West 133rd Street, New York, NY 10027			4pm - 4am		
Jin Ramen Restaurant		3183 Broadway, New York, NY 10027			to 11 pm MTWT 	FS - 12  am , sun 10pm	
Joe's Gourmet Health Deli		3161 Broadway, New York, NY 10027					
Kuro Kuma Espresso & Coffee		121 La Salle Street, New York, NY 10027					
Oasis Jimma Juice Bar		3163 Broadway, New York, NY 10027					
McDonald's Restaurant		600 West 125th Street, New York, NY 10027					
Shell Gasoline Station		3260 Broadway, New York, NY 10027					
Studebaker Cafe		615 West 131st Street, New York, NY 10027					
Subway Restaurant		578 West 125th Street, New York, NY 10027					
Subway Restaurant		1518 Amsterdam Avenue, New York, NY 10031					
Thrifty Deli		3149 North Broadway, New York, NY 10027					
Toast Cafe		3157 Broadway Avenue, New York Ny 10027					
VNV Optical International		3210 Broadway					
World Wines Liquour Store		3139 Broadway					
							
Aerosoles Shoes		2913A Broadway, New York, NY 10025					
Amir's Falafel		2911 Broadway, New York, NY 10025					
Amsterdam Cafe		1207 Amsterdam Avenue, New York, NY 10027					
Apple Tree Supermarket		1225 Amsterdam Avenue, New York, NY 10027					
Art Polis Espresso		1090 Amsterdam Avenue, New York, NY 10025					
Atomic Wings		2090 Frederick Douglass Boulevard, New York, NY 10026					
Bernheim & Schwartz		2911 Broadway, New York, NY 10025					
Bon French Cleaners		2881 Broadway, New York, NY 10025					
Broadway Au Lait		3070 Broadway, New York, NY 10027					
Camille's Restaurant 		1135 Amsterdam Avenue, New York, NY 10025					
Cascabel Taqueria 		2799 Broadway, New York, NY 10025					
Che' Bella Pizza		1215 Amsterdam Avenue, New York, NY 10027					
Chipotle		2843 Broadway, New York, NY 10025					
Chokolat Patisserie		3111 Broadway, New York, NY 10027									
Community Food & Juice 		2893 Broadway, New York, NY 10025									
Copies Express		3062 Broadway, New York, NY 10027					
Crepes on Columbus		990 Columbus Avenue, New York, NY 10025					
D'Agastino Supermarket		2828 Broadway, New York, NY 10025					
Deluxe Restaurant		2896 Broadway, New York, NY 10025					
Dunkin' Donuts		1342 Amsterdam Avenue, New York, NY 10027								
Famous Famiglia Pizzeria		2859 Broadway, New York, NY 10025					
Flat Top Bistro & Cafe		1241 Amsterdam Avenue, New York, NY 10027					
Freda's Caribbean & Soul Food		993 Columbus Avenue, New York, NY 10025					
Garcia Hardware &  Houseware		995 Columbus Avenue, New York, NY 10025					
Haagen-Dazs		2905 Broadway, New York, NY 10025							
Hamilton Deli		1129 Amsterdam Avenue, New York, NY 10025					
Harlem Tavern		2153 Frederick Douglass Boulevard, New York, NY 10026					
Hungarian Pastry Shop		1030 Amsterdam Avenue, New York, NY 10025					
Innovative Bike Shop		105 West 106th Street, New York, NY 10025					
Insomnia Cookies		1028 Amsterdam Avenue, New York, NY 10025					
International Wine & Spirits		2903 Broadway, New York, NY 10025					
Ivy League Stationary		2955 Broadway, New York, NY 10025					
Ivy League Stationary 		1201 Amsterdam Avenue, New York, NY 10027					
Ivy League Stationary		2815 Broadway, New York, NY 10025					
Kitchenette Uptown Restaurant		1272 Amsterdam Avenue, New York, NY 10027					
Koronet Pizza		2848 Broadway, New York, NY 10025					
Le Monde Restaurant		2885 Broadway, New York, NY 10025					
Lura Mediterranean Restaurant & Bar Lounge		949 Columbus Avenue, New York, NY 10025					
M2M Deli		2935 Broadway, New York, NY 10025					
Max SoHa Cafe		1274 Amsterdam Avenue, New York, NY 10027					
Mels Burger Bar		2850 Broadway, New York, NY 10025					
Met Food Supermarket		1316 Amsterdam Avenue, New York, NY 10024					
Milano Market		2892 Broadway, New York, NY 10025							
Morton Williams Market		2941 Broadway, New York, NY 10027					
Nikko Sushi & Chinese Restaurant		1280 Amsterdam Avenue, New York, NY 10027					
Nussbaum & Wu		2897 Broadway, New York, NY 10025					
Olive Tree Deli		3060 Broadway, New York, NY 10027					
Ollie's Restaurant		2957 Broadway, New York, NY 10025					
Oren's Daily Roast		2882 Broadway, New York, NY 10025					
Organic Forever		2035 Frederick Douglass Boulevard, New York, NY 10026					
Panini D'Parma		1231 Amsterdam Avenue, New York, NY 10027					
Papa John's Pizza		301 West 110th Street, New York, NY 10026					
Pink Berry		2873 Broadway, New York, NY 10025						
Rite-Aid Pharmacy		2833 Broadway, New York, NY 10025					
Samad's Gourmet		2867 Broadway, New York, NY 10025					
Shahi Biryani Grill		71 West 109th Street, New York, NY 10025					
SnowBall's Pets Grooming Salon		943 Columbus Avenue, New York, NY 10025					
Spotless Cleaners		3068 Broadway, New York, NY 10027					
Strokos Pizza		1090 Amsterdam Avenue, New York 10025					
Subway Restaurant		1270 Amsterdam Avenue, New York, NY 10027					
Tea Magic 		2878 Broadway, New York, NY 10025					
Subs Conscious		1213 Amsterdam Avenue, New York, NY 10027					
The UPS Store		603 West 115th Street, New York, NY 10025					
Village Copier		1181 Amsterdam Avenue, New York, NY 10027					
Village Copier							
Toast Cafe		3157 Broadway Avenue, New York, NY 10027					
Toast Chicken & Bar		1268 Amsterdam Avenue, New York, NY 10027					
Town Drug Store		501 West 113th Street #1, New York, NY 10025					
Town Drug Store		1009 Columbus Avenue, New York, NY 10025					
University Hardware		2905 Broadway, New York, NY 10025					
University Housewares		2901 Broadway, New York, NY 10025					
V&T Pizza & Restaurant		1024 Amsterdam Avenue, New York, NY 10025					
Village Pour House		982 Amsterdam Avenue, New York, NY 10025					
West Side Market		2840 Broadway, New York, NY 10025					
Ye Olde Cleaners		1211 Amsterdam Avenue, New York, NY 10027					
Zanny's Coffee Shop		975 Columbus Avenue, New York, NY 10025					
							
Antika Family Style Pizzeria							
Anthony's Flower Shop							
Cachapas Y Mas Restaurant							
Carrot Top							
Chipotle							
Columbia Pharmacy							
Columbia Wine Co.							
Coogan's Restaurant							
Cosmo's Pizza							
Dallas BBQ							
Dunkin' Donuts							
Dunkin' Donuts							
Dunkin' Donuts							
El Presidente Restaurant							
Furry Rascals							
Gristedes Mega Market							
Heights Tavern							
Ideal Mini Mart							
Jade Garden Chinese & Sushi							
Jou Jou Cafe							
Koronet Pizza							
Marcha Cocina & Bar							
McDonald's Restaurant							
Mike's Bagels							
Mobile Gas Station & "On the Run"							
Papa John's Pizza 							
Quick Fresh							
Ray Drugs							
Remy's Restaurant							
Sano Health Food Center							
Shangri-La Deli							
Strokos Pizza							
Subway Restaurant							
Tasty Deli							
Tung Thong Thai Restaurant							
Twin Donuts Plus							
Victor's Bike Shop							
Wendy's Restaurant							
West 165 St. Hardware							
X - Cafe							
							
New Star light Cleaners & Laundry 							
